CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350527.08,3680,3685,3680,3685,3685,3685,3685,3685,3680,3685,3685,3685,3685,3680,3680,3680,3685,3685,3685,3680,3685,3680,3685,3685,3680,3685,3680,3680,3685,3685,3685,3685,3680,3685
5350527.09,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920
5350528.01,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880
5350528.02,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485,6485
5350528.10,7410,7410,7410,7410,7410,7410,7410,7410,7405,7410,7410,7410,7410,7410,7410,7410,7410,7410,7410,7410,7405,7410,7410,7405,7410,7410,7410,7410,7410,7410,7410,7410,7410,7410
5350528.11,4895,4895,4890,4890,4890,4895,4890,4890,4895,4890,4895,4895,4890,4890,4895,4890,4890,4895,4895,4895,4890,4890,4890,4890,4890,4895,4895,4895,4890,4890,4895,4890,4895,4895
5350528.12,4930,4925,4925,4925,4925,4930,4930,4925,4925,4925,4930,4925,4925,4925,4930,4930,4925,4930,4925,4925,4925,4930,4925,4925,4930,4925,4930,4925,4925,4925,4925,4925,4925,4925
5350528.13,2895,2890,2895,2895,2895,2895,2895,2890,2895,2895,2890,2890,2895,2895,2890,2895,2890,2890,2895,2895,2890,2895,2895,2895,2895,2895,2895,2895,2895,2890,2890,2895,2890,2895
5350528.15,3775,3775,3780,3780,3780,3780,3780,3775,3780,3780,3780,3775,3780,3780,3780,3780,3775,3775,3780,3780,3775,3780,3780,3775,3780,3780,3775,3780,3775,3780,3780,3780,3775,3775
5350528.16,4390,4385,4385,4390,4390,4390,4390,4385,4390,4385,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4390,4385,4390,4385,4385,4390,4390,4390,4385,4390,4390,4390,4390,4390
5350528.18,5730,5735,5735,5730,5735,5730,5730,5735,5730,5730,5735,5735,5735,5735,5735,5730,5730,5730,5735,5730,5730,5730,5735,5735,5735,5735,5730,5730,5730,5735,5735,5730,5735,5735
5350528.19,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4595,4590,4595,4595,4595,4595,4595,4595,4590,4595,4595,4595,4590,4595,4595,4595,4595,4595,4595,4595
5350528.20,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025,5025
5350528.21,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425
5350528.22,5340,5340,5340,5345,5345,5340,5345,5340,5340,5340,5340,5340,5340,5340,5340,5340,5340,5345,5340,5340,5340,5340,5340,5340,5345,5340,5340,5340,5340,5340,5340,5340,5340,5340
5350528.24,4590,4585,4585,4590,4590,4585,4590,4585,4590,4585,4585,4585,4585,4585,4585,4585,4590,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4590,4585,4585,4585,4590
5350528.25,6305,6310,6305,6305,6305,6305,6305,6310,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6305,6310,6310,6305,6305,6305,6305,6305,6305,6310,6305
5350528.26,4445,4450,4450,4450,4450,4450,4445,4445,4450,4445,4445,4450,4450,4450,4450,4450,4445,4450,4450,4450,4450,4445,4450,4450,4445,4450,4445,4450,4445,4450,4445,4445,4450,4445
5350528.31,5100,5105,5100,5100,5100,5105,5105,5100,5100,5100,5100,5100,5100,5100,5105,5100,5100,5100,5105,5100,5100,5100,5100,5100,5105,5100,5105,5100,5100,5100,5100,5100,5100,5100
5350528.32,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
5350528.33,5475,5475,5475,5470,5475,5475,5470,5475,5475,5470,5470,5470,5470,5470,5470,5470,5475,5470,5475,5475,5470,5475,5470,5470,5475,5475,5475,5475,5470,5470,5470,5475,5470,5475
5350528.34,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040
5350528.35,2560,2565,2565,2560,2565,2560,2560,2560,2560,2565,2565,2560,2565,2565,2560,2565,2560,2565,2565,2565,2560,2560,2560,2565,2560,2560,2560,2560,2565,2565,2560,2565,2560,2560
5350528.36,6600,6600,6600,6595,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6595,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6595,6595
5350528.37,6590,6590,6595,6590,6595,6595,6590,6590,6595,6595,6595,6595,6590,6590,6590,6595,6590,6590,6595,6590,6590,6590,6595,6595,6595,6595,6590,6595,6595,6595,6595,6590,6595,6595
5350528.39,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5335,5330,5335,5330,5330,5335,5330,5330,5330,5330,5330,5330,5330,5335,5335,5330,5335,5330,5330,5335,5330,5330,5335,5335
5350528.40,4860,4865,4860,4865,4865,4860,4865,4860,4865,4865,4860,4865,4865,4860,4865,4865,4865,4865,4865,4860,4860,4865,4860,4860,4860,4860,4865,4865,4860,4865,4865,4865,4865,4865
5350528.41,6215,6215,6215,6215,6215,6215,6220,6220,6220,6215,6215,6215,6215,6215,6215,6215,6215,6215,6215,6220,6215,6215,6215,6220,6220,6215,6215,6220,6220,6215,6215,6220,6215,6215
5350528.42,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325
5350528.43,4065,4065,4060,4065,4060,4065,4065,4060,4060,4065,4065,4065,4060,4065,4065,4065,4060,4060,4065,4065,4065,4065,4060,4060,4065,4065,4065,4065,4060,4065,4065,4060,4060,4065
5350528.44,1805,1810,1805,1805,1805,1805,1805,1810,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1805,1810,1805,1805,1805
5350528.45,4540,4535,4540,4540,4540,4540,4540,4540,4540,4540,4540,4535,4540,4535,4540,4540,4540,4535,4540,4540,4535,4540,4540,4540,4540,4540,4535,4540,4540,4535,4540,4540,4540,4535
5350528.46,5610,5610,5605,5605,5605,5605,5605,5610,5605,5605,5610,5610,5605,5605,5605,5610,5605,5605,5605,5605,5610,5605,5605,5605,5610,5605,5605,5605,5610,5605,5605,5605,5605,5605
5350528.47,4315,4310,4315,4315,4315,4315,4315,4315,4315,4315,4310,4315,4315,4310,4315,4315,4315,4315,4315,4315,4315,4315,4315,4310,4315,4310,4315,4315,4315,4315,4315,4310,4315,4315
5350528.48,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6165,6170,6165,6165,6165,6165,6165,6170,6165,6165
5350528.49,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645,3645
5350529.01,3135,3135,3135,3135,3130,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3135,3130,3135,3135,3135,3135,3135,3130,3135,3135,3135,3130,3135,3135
5350529.02,3760,3765,3765,3760,3765,3760,3765,3760,3765,3765,3765,3760,3765,3760,3765,3760,3760,3760,3765,3765,3765,3760,3765,3765,3760,3765,3760,3765,3765,3760,3760,3765,3760,3760
5350530.01,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035,4035
5350530.02,2560,2560,2560,2560,2560,2560,2565,2560,2560,2560,2560,2565,2560,2560,2560,2560,2560,2565,2560,2560,2560,2565,2560,2560,2560,2560,2560,2560,2560,2565,2560,2560,2560,2560
5350531.01,3305,3310,3310,3310,3310,3305,3305,3310,3305,3305,3310,3305,3305,3310,3310,3310,3305,3305,3305,3310,3310,3310,3310,3305,3310,3305,3310,3305,3310,3305,3305,3305,3305,3305
5350531.02,5470,5465,5470,5470,5470,5470,5465,5465,5470,5465,5470,5465,5465,5470,5465,5470,5470,5465,5470,5465,5465,5470,5470,5470,5470,5470,5470,5470,5465,5470,5470,5470,5465,5470
5350532.01,3565,3565,3565,3565,3565,3560,3565,3565,3565,3565,3565,3560,3565,3560,3565,3565,3565,3565,3565,3565,3565,3565,3565,3565,3560,3565,3565,3560,3565,3565,3560,3565,3565,3565
5350532.02,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710,3710
5350540.01,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4295,4300,4295,4295,4295,4300,4300,4295,4300,4300,4300,4300,4300,4300,4300,4295,4300
5350540.02,4820,4825,4825,4825,4825,4825,4820,4825,4825,4825,4825,4825,4825,4820,4825,4825,4825,4825,4825,4825,4825,4825,4825,4820,4825,4820,4825,4820,4825,4825,4825,4825,4825,4825
5350550.01,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880
5350550.02,6340,6340,6345,6345,6340,6340,6340,6345,6345,6345,6345,6345,6345,6340,6340,6340,6340,6340,6340,6345,6345,6340,6340,6345,6345,6345,6340,6340,6340,6340,6345,6345,6340,6345
5350560.00,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165,5165
5350561.00,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360,5360
5350562.02,5625,5625,5630,5625,5625,5630,5625,5625,5625,5630,5625,5625,5625,5625,5630,5630,5625,5625,5625,5625,5625,5630,5625,5625,5630,5625,5625,5625,5625,5625,5625,5625,5625,5625
5350562.03,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910,3910
5350562.04,3785,3790,3785,3790,3785,3790,3790,3790,3790,3790,3790,3785,3790,3785,3785,3790,3790,3790,3790,3785,3790,3785,3785,3790,3790,3790,3785,3790,3790,3790,3790,3785,3785,3785
5350562.05,4710,4710,4705,4710,4710,4710,4710,4710,4705,4710,4710,4710,4710,4710,4710,4710,4710,4710,4705,4710,4705,4705,4710,4710,4710,4710,4710,4710,4705,4705,4710,4710,4705,4710
5350562.06,2600,2600,2595,2595,2595,2600,2600,2600,2600,2600,2600,2595,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2595,2595,2600,2600,2595,2595,2600,2600
5350562.07,3700,3700,3695,3700,3700,3700,3700,3695,3700,3700,3700,3700,3695,3695,3700,3700,3695,3700,3695,3700,3695,3695,3700,3700,3700,3700,3695,3700,3700,3700,3695,3700,3695,3700
5350562.08,3425,3425,3420,3420,3425,3425,3425,3420,3425,3425,3420,3420,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3420,3425,3425,3420,3420,3425,3425
5350562.09,3295,3290,3290,3295,3295,3290,3290,3295,3290,3290,3290,3290,3290,3290,3295,3290,3290,3290,3290,3295,3290,3290,3295,3290,3290,3295,3290,3290,3290,3290,3290,3290,3290,3290
5350562.11,2520,2520,2520,2525,2525,2520,2520,2520,2525,2520,2520,2525,2525,2525,2525,2525,2525,2520,2520,2525,2520,2520,2520,2525,2520,2520,2520,2520,2520,2525,2520,2520,2520,2520
5350562.12,5440,5440,5445,5445,5440,5445,5445,5445,5445,5440,5445,5440,5445,5440,5445,5440,5445,5445,5445,5440,5445,5440,5440,5445,5440,5445,5445,5440,5445,5440,5445,5445,5440,5440
5350562.13,930,925,930,925,930,930,930,925,930,930,930,925,930,930,925,930,925,925,925,925,925,925,925,930,925,930,925,925,930,930,925,925,930,925
5350562.14,3315,3315,3310,3315,3310,3310,3315,3315,3315,3315,3315,3310,3315,3310,3315,3310,3315,3310,3315,3310,3310,3315,3315,3315,3315,3315,3315,3315,3315,3310,3310,3310,3315,3315
5350562.15,3070,3075,3070,3070,3075,3075,3070,3075,3075,3070,3070,3070,3070,3075,3075,3070,3075,3070,3070,3075,3070,3070,3070,3070,3070,3070,3070,3070,3075,3070,3070,3075,3070,3070
5350563.01,5130,5130,5125,5130,5130,5125,5125,5130,5130,5130,5130,5130,5130,5130,5125,5130,5125,5130,5125,5125,5130,5125,5130,5125,5130,5125,5130,5130,5130,5125,5130,5130,5125,5130
5350563.02,2500,2500,2495,2500,2495,2500,2495,2495,2500,2500,2500,2500,2500,2495,2495,2495,2495,2500,2500,2500,2500,2500,2500,2495,2495,2500,2495,2500,2500,2500,2500,2500,2495,2500
5350564.01,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955
5350564.02,3825,3820,3820,3825,3820,3825,3825,3825,3825,3820,3825,3820,3825,3825,3825,3820,3820,3825,3820,3820,3820,3825,3825,3825,3825,3825,3820,3825,3820,3825,3820,3825,3820,3825
5350570.01,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2635,2640,2635,2635,2635,2640,2635,2635,2640,2635,2635,2640,2635,2640,2640,2635,2635,2635,2640
5350570.02,3030,3025,3025,3025,3025,3025,3025,3025,3025,3025,3025,3030,3025,3025,3030,3025,3030,3025,3025,3025,3025,3025,3025,3030,3030,3025,3025,3025,3025,3025,3030,3030,3025,3030
5350571.01,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050,3050
5350571.02,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275,3275
5350572.01,5705,5705,5705,5705,5705,5700,5705,5705,5705,5705,5705,5700,5705,5705,5700,5705,5705,5700,5700,5705,5700,5705,5705,5705,5705,5705,5705,5705,5705,5705,5705,5705,5705,5700
5350572.04,2695,2695,2695,2695,2700,2695,2700,2695,2695,2700,2700,2700,2700,2700,2700,2695,2695,2695,2700,2700,2700,2695,2700,2695,2695,2700,2695,2695,2700,2700,2700,2695,2695,2695
5350572.05,4875,4880,4875,4875,4880,4880,4880,4875,4875,4875,4880,4875,4875,4875,4880,4880,4875,4880,4880,4880,4880,4875,4875,4880,4880,4880,4875,4875,4880,4875,4880,4875,4880,4875
5350572.07,3835,3835,3830,3835,3835,3830,3835,3835,3835,3835,3835,3835,3835,3830,3835,3835,3835,3830,3835,3835,3835,3835,3835,3835,3830,3835,3835,3835,3835,3830,3835,3830,3835,3835
5350572.08,4555,4555,4560,4560,4555,4555,4560,4560,4560,4560,4560,4560,4560,4560,4555,4555,4560,4555,4555,4555,4555,4555,4555,4555,4555,4555,4555,4560,4560,4560,4560,4560,4560,4560
5350572.09,3730,3735,3735,3735,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3735,3730,3730,3730,3730,3735,3730,3730,3735,3730,3735,3735,3735,3730,3735,3730,3730,3730,3730,3735
5350572.10,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940
5350573.03,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5110,5110,5105,5105,5110,5105,5105,5110,5110,5105,5110,5105,5110,5105,5105,5105,5105,5110,5105,5105
5350573.05,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730,4730
5350573.06,3730,3735,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3735,3730,3735,3730,3735,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730
5350573.07,4810,4810,4810,4810,4815,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4810,4815,4810,4810,4810,4815,4810,4810,4810,4815,4810,4810,4810,4815,4810,4810
5350573.09,4770,4775,4775,4770,4775,4775,4770,4775,4775,4775,4770,4775,4770,4775,4770,4770,4775,4775,4775,4775,4775,4775,4775,4775,4775,4770,4770,4770,4775,4775,4775,4775,4775,4775
5350573.10,2620,2620,2615,2620,2620,2620,2620,2620,2620,2620,2615,2620,2620,2615,2620,2620,2620,2620,2615,2615,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620
5350573.11,3930,3930,3930,3930,3930,3930,3935,3935,3930,3935,3935,3930,3935,3930,3935,3930,3935,3930,3930,3935,3935,3930,3930,3935,3935,3930,3935,3930,3935,3935,3930,3935,3935,3935
5350574.00,5795,5790,5795,5795,5790,5790,5795,5795,5795,5795,5790,5790,5795,5795,5795,5795,5790,5790,5795,5795,5795,5795,5790,5790,5795,5790,5795,5790,5795,5795,5795,5790,5795,5790
5350575.01,4830,4830,4830,4835,4830,4830,4830,4835,4830,4830,4835,4830,4835,4835,4835,4835,4830,4835,4835,4830,4835,4835,4830,4830,4835,4830,4835,4830,4835,4830,4830,4835,4830,4835
5350575.02,3825,3825,3825,3825,3825,3830,3825,3825,3830,3825,3825,3830,3825,3825,3825,3825,3830,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3825,3830,3825,3825,3825,3830
5350575.03,5355,5350,5350,5350,5350,5355,5355,5355,5355,5355,5350,5350,5350,5350,5355,5355,5350,5355,5350,5350,5350,5350,5350,5350,5355,5355,5350,5350,5350,5355,5355,5355,5355,5350
5350575.04,5075,5070,5075,5070,5075,5075,5075,5075,5070,5070,5070,5075,5070,5075,5070,5070,5075,5070,5075,5070,5070,5075,5075,5070,5075,5070,5075,5070,5075,5075,5075,5075,5075,5075
5350575.05,5605,5605,5610,5610,5605,5610,5605,5610,5605,5610,5605,5605,5605,5605,5605,5605,5605,5605,5605,5605,5605,5610,5605,5605,5605,5605,5605,5610,5610,5605,5605,5605,5605,5605
5350575.07,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150
5350575.08,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385,4385
5350576.04,3755,3750,3755,3755,3755,3750,3750,3755,3755,3750,3755,3750,3750,3750,3755,3750,3750,3750,3755,3755,3750,3755,3750,3755,3750,3755,3750,3750,3750,3750,3750,3750,3755,3755
5350576.05,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660
5350576.06,5970,5975,5970,5975,5970,5970,5970,5970,5975,5970,5970,5975,5970,5970,5970,5970,5975,5970,5975,5970,5970,5970,5970,5970,5970,5975,5970,5970,5975,5975,5975,5970,5970,5975
5350576.07,3760,3765,3765,3765,3760,3760,3760,3760,3760,3765,3760,3765,3760,3760,3765,3760,3765,3760,3765,3765,3760,3760,3765,3765,3760,3765,3760,3760,3760,3765,3760,3765,3765,3760
5350576.09,3160,3160,3165,3165,3165,3165,3160,3165,3165,3160,3165,3165,3165,3165,3165,3160,3165,3165,3165,3160,3165,3160,3165,3165,3160,3165,3160,3160,3160,3165,3160,3165,3160,3160
5350576.10,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640,9640
5350576.16,5290,5295,5295,5295,5295,5295,5295,5295,5295,5290,5295,5295,5295,5295,5295,5295,5290,5295,5295,5295,5295,5295,5295,5295,5290,5295,5295,5295,5295,5295,5295,5290,5295,5295
5350576.17,5360,5365,5360,5365,5360,5365,5365,5365,5365,5360,5360,5360,5365,5360,5360,5365,5365,5360,5360,5365,5365,5360,5365,5360,5365,5365,5365,5360,5365,5360,5365,5365,5365,5365
5350576.20,5220,5220,5220,5220,5220,5220,5225,5225,5220,5225,5220,5220,5220,5220,5225,5220,5220,5225,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220,5220
5350576.22,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035,6035
5350576.24,8335,8335,8335,8330,8335,8335,8335,8330,8330,8335,8330,8335,8335,8335,8335,8330,8330,8330,8330,8335,8330,8330,8335,8335,8335,8330,8330,8335,8330,8330,8330,8335,8330,8335
5350576.29,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175,3175
5350576.31,3145,3140,3140,3140,3140,3140,3140,3140,3140,3145,3140,3145,3145,3140,3140,3145,3140,3140,3140,3140,3140,3145,3140,3145,3140,3145,3145,3145,3145,3140,3140,3145,3140,3140
5350576.32,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385,7385
5350576.33,2135,2135,2140,2135,2135,2140,2135,2135,2135,2135,2140,2135,2135,2140,2140,2135,2135,2135,2135,2140,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135
5350576.34,4725,4720,4720,4720,4725,4720,4720,4725,4720,4725,4720,4720,4720,4720,4720,4720,4725,4720,4725,4720,4725,4720,4720,4720,4720,4720,4725,4725,4720,4720,4720,4725,4720,4720
5350576.40,6190,6190,6195,6195,6190,6195,6195,6190,6195,6195,6190,6195,6195,6195,6190,6195,6195,6195,6195,6195,6190,6195,6190,6190,6195,6195,6195,6190,6190,6195,6190,6195,6195,6190
5350576.41,6210,6210,6210,6210,6215,6215,6215,6210,6210,6210,6215,6210,6210,6210,6210,6210,6210,6215,6210,6210,6210,6210,6215,6210,6215,6215,6215,6215,6210,6215,6210,6210,6210,6215
5350576.42,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410
5350576.43,4970,4970,4965,4965,4965,4970,4970,4970,4965,4965,4965,4965,4965,4965,4970,4970,4965,4965,4965,4970,4970,4965,4965,4965,4965,4965,4965,4970,4965,4965,4965,4965,4970,4970
5350576.44,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175
5350576.45,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390,2390
5350576.46,4195,4195,4195,4195,4195,4195,4195,4195,4195,4195,4195,4195,4200,4200,4195,4195,4195,4195,4200,4195,4195,4195,4195,4195,4195,4195,4195,4195,4195,4200,4195,4195,4195,4195
5350576.47,3280,3280,3285,3280,3285,3280,3280,3285,3280,3285,3285,3280,3285,3285,3285,3280,3280,3280,3285,3280,3280,3280,3280,3285,3285,3280,3280,3285,3285,3285,3285,3280,3280,3280
5350576.49,4490,4490,4495,4495,4495,4490,4490,4490,4495,4495,4490,4490,4495,4490,4495,4495,4495,4495,4490,4490,4495,4495,4495,4495,4495,4490,4490,4495,4490,4495,4490,4490,4490,4490
5350576.50,5155,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5155,5155,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5155
5350576.52,4360,4355,4355,4355,4355,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,4355,4360,4355,4355,4360,4355,4360,4360,4360,4360,4360,4355,4355,4360,4355,4360,4355,4360
5350576.53,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295,3295
5350576.54,3515,3510,3510,3515,3515,3510,3515,3515,3510,3515,3510,3510,3510,3510,3515,3515,3515,3510,3510,3510,3515,3510,3515,3515,3510,3510,3515,3510,3515,3510,3510,3510,3510,3510
5350576.55,5100,5095,5100,5095,5100,5100,5100,5095,5095,5100,5095,5100,5100,5100,5100,5100,5100,5100,5095,5095,5100,5100,5100,5100,5100,5095,5100,5100,5100,5095,5100,5100,5100,5100
5350576.56,6175,6170,6175,6175,6175,6175,6170,6175,6175,6175,6170,6170,6175,6175,6170,6175,6170,6175,6170,6175,6175,6170,6175,6175,6175,6175,6175,6170,6170,6175,6175,6175,6175,6175
5350576.57,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,2810,2805,2805,2810,2805,2805,2810,2805,2805,2805,2805,2805,2810,2805,2805,2805,2805,2810,2805,2805,2805,2805
